@relation water_potability

@attribute ph numeric
@attribute Hardness numeric
@attribute Solids numeric
@attribute Chloramines numeric
@attribute Sulfate numeric
@attribute Conductivity numeric
@attribute Organic_carbon numeric
@attribute Trihalomethanes numeric
@attribute Turbidity numeric
@attribute Potability numeric

@data
?,143.453731,19942.273218,5.890755,?,427.130671,22.469892,53.124094,2.907564,0
9.267188,198.614395,24683.723566,6.110612,328.077533,396.876949,16.471969,30.383315,4.324005,0
?,233.858996,11703.923907,4.599388,309.03932,349.399633,18.338893,42.677465,3.510004,0
5.33194,194.874065,16658.876503,7.99383,316.675162,335.120398,10.180514,59.572714,4.43482,0
7.145772,238.689929,28780.340432,6.814029,385.97565,332.032706,11.093163,66.138045,5.182591,0
9.920691,202.817483,9973.934059,6.882248,337.350529,333.19247,23.917601,71.833624,4.690707,0
4.758439,183.349454,21568.428779,4.731349,?,403.944168,18.668229,66.9124,4.542801,0
5.702926,216.850474,35606.440177,7.184351,?,504.63826,16.14079,77.536184,4.137739,0
6.953864,209.638293,10575.186281,4.462707,315.606594,391.184315,13.285334,87.390889,3.19571,0
10.682966,173.375498,15758.740621,5.570784,307.352586,323.807913,10.09087,78.472784,3.999775,0
?,129.890572,34415.853146,6.321929,304.535224,470.329169,18.59941,72.403634,4.405586,0
8.757257,200.1914,21536.224687,4.915101,317.8829,404.717799,13.768323,47.930872,3.626135,0
?,168.388431,27492.307307,7.046225,299.820478,383.79502,16.182066,75.729434,3.048057,0
7.809632,100.457615,12013.550629,5.212315,247.200826,605.220124,9.611349,66.084174,2.447444,0
6.652488,145.010172,19871.788448,4.961066,288.052192,545.974994,10.942024,71.727414,3.74209,0
9.147197,211.714142,11920.610836,7.230795,339.751919,527.70891,18.275312,47.634885,3.794532,0
10.560745,181.893366,21783.651033,6.99126,340.390378,456.556402,16.482835,34.252049,3.964686,0
7.484255,260.092173,30616.615149,9.379134,?,404.670777,15.934484,66.621027,4.781188,0
8.520807,238.335112,28779.650011,8.282808,381.649323,481.318803,6.016337,39.091171,3.940605,0
4.999414,190.28705,24323.865903,7.230164,324.893038,405.330482,8.236558,99.427385,4.460684,0
?,157.801194,16963.625012,8.335619,300.044234,360.995994,12.823861,71.717005,4.405386,0
?,155.055727,20557.240432,8.187319,?,290.180983,16.622255,59.622057,4.089908,0
3.906078,233.402835,32144.799934,6.99484,348.359448,269.449051,9.654126,63.743064,3.90288,0
6.391354,213.01783,20965.478309,5.37556,327.650543,369.338121,13.758105,17.915723,3.923749,0
?,229.485694,35729.692709,8.810843,384.943779,296.397547,16.927092,?,3.855602,0
8.692092,195.143739,24656.239679,8.2319,?,398.345418,12.380771,48.440725,4.47796,0
8.08576,127.739674,32653.91036,6.534237,?,416.23963,11.119659,78.27505,4.068689,0
6.203978,212.306618,21815.074148,7.873992,?,362.108004,14.933013,63.87382,5.215689,0
5.058109,238.56938,34873.934523,8.983276,374.433505,669.725086,13.353181,76.5218,5.106656,0
?,103.464759,27420.167425,8.417305,?,485.9745,11.351133,67.869964,4.620793,0
?,211.200526,12830.484134,4.502117,326.961518,333.329848,16.045148,49.898406,3.43974,0
7.261551,179.889788,24964.777703,5.837086,349.269271,501.182781,17.287713,50.993006,3.636364,0
7.160467,183.08931,6743.346066,3.803036,277.599099,428.036344,9.799625,90.035374,3.884891,0
5.704765,116.29933,33223.581529,7.050503,297.078153,504.378681,9.00182,48.147031,4.157533,0
6.217273,130.944464,19460.382819,7.092463,300.131272,556.65371,14.083608,57.897075,5.325833,0
8.679935,242.228667,22984.050951,7.518765,?,352.942588,18.704409,69.907902,3.87347,0
?,219.300914,14859.466424,5.598327,344.442394,425.213575,15.771834,49.352001,4.655917,0
6.897322,211.360167,25650.777643,6.76601,?,383.01431,13.934788,90.52333,5.022784,0
3.514546,158.732076,23029.663614,6.821679,286.522847,307.379142,9.712232,79.850929,3.762615,0
3.7225,163.639747,37962.167991,6.68457,326.694018,467.562973,14.567269,50.577979,3.662838,0
6.455005,176.683973,24468.04839,5.75693,314.799598,477.581346,16.245504,57.729724,2.293431,0
7.316805,217.522862,31903.399812,9.865048,376.937972,425.9134,8.992754,69.50922,3.508373,0
1.844538,233.764343,28689.595778,7.724432,?,410.387264,15.611859,54.299444,5.013463,0
5.519126,168.728583,12531.601921,7.730723,?,443.570372,18.099078,?,3.758996,0
7.408985,204.96175,9566.12227,6.505923,311.452663,504.145994,11.532144,81.106938,3.772421,0
5.97677,258.952732,27267.981861,7.648599,383.657152,514.11892,12.25679,82.469798,2.994671,0
6.395359,133.834229,23827.275015,5.127747,266.908428,573.400295,9.833875,95.026609,4.191218,0
6.209642,195.417721,13116.707712,7.879348,?,417.241656,7.507662,70.547387,3.61252,0
6.762833,232.075177,27159.384345,7.884991,350.445293,465.413775,13.863965,64.812257,4.916579,0
9.918717,199.181251,21470.278305,6.799841,329.178429,430.507707,15.966043,59.292273,3.385508,0
10.15544,300.292476,12652.362979,6.655126,398.647786,487.459131,9.347634,67.919789,5.002467,0
8.721727,206.369682,28608.052076,6.325442,377.404538,506.938353,13.553751,42.381484,2.555027,0
?,197.979783,17153.306163,7.659204,329.280315,575.114694,11.870981,69.109836,4.383922,0
?,199.107886,29721.91163,6.86969,357.303221,420.709591,9.226619,55.294283,3.355165,0
6.099647,237.919927,20416.840996,8.457831,?,291.104837,19.270054,93.138009,3.17279,0
9.026788,253.217074,27965.072146,6.588374,373.553235,588.319651,16.145732,59.124451,2.019042,0
6.953372,203.146547,11609.109055,5.495738,304.283193,551.143337,9.387781,55.958006,3.651866,0
6.140878,197.87609,26687.874483,7.587196,329.231853,548.072761,15.83633,41.263648,5.35946,0
7.077874,220.67054,23873.37821,6.18184,341.987234,333.050786,10.661799,90.29777,4.764508,0
5.488314,135.802362,21485.153195,8.187416,280.603287,441.331137,14.860263,88.287346,5.066786,0
7.205559,120.327615,24627.86756,6.202469,289.768697,418.43329,13.643147,63.733732,3.710053,0
9.17787,163.274828,20868.331219,7.72604,320.421432,426.994393,10.214275,62.430926,3.10877,0
4.270716,166.837709,24405.250535,7.39151,297.206739,349.51891,13.478526,54.47484,3.763906,0
7.348845,223.26494,11519.046527,8.889559,?,494.158434,18.145374,73.715522,4.880875,0
8.52617,175.612836,11837.12336,7.483709,308.398516,474.240482,21.845916,52.372201,5.083014,0
?,169.041917,36152.820899,8.330389,329.03971,590.748787,17.695114,103.150463,3.995974,0
2.612036,188.804126,34798.252587,6.796439,?,468.080267,13.170763,49.52377,4.765205,0
8.490572,204.123648,22989.79639,8.270793,358.847115,435.000898,17.084246,62.421637,3.875557,0
?,213.541932,22539.711615,6.957204,334.041186,463.398847,11.623019,69.61585,3.398593,0
8.858402,254.617519,9624.300462,7.954016,348.408195,344.303363,7.935468,78.10855,5.525726,0
6.098157,189.995846,27776.901052,6.443098,347.9304,245.859632,14.636882,73.424632,3.977362,0
8.419971,185.718989,13237.989605,3.998266,308.142639,463.647277,17.209565,48.783112,3.962478,0
9.286155,222.661551,12311.268366,7.289866,332.239359,353.7401,14.171763,?,5.239982,0
7.875895,226.284788,12710.249452,7.303127,346.403258,445.374147,6.063462,63.128044,4.238589,0
7.725333,252.265491,36477.738112,8.386761,426.54359,339.411327,17.485844,60.483885,3.724837,0
3.388091,212.028944,20230.125577,8.569782,349.155999,353.912927,18.20834,82.387874,2.798601,0
6.745307,218.424637,21871.8387,7.165509,?,373.050102,16.826619,74.08608,3.902353,0
?,190.423899,28062.641892,9.615147,357.226709,263.771914,13.445225,67.055558,5.629016,0
7.183826,261.8508,14100.968987,9.008495,358.724702,290.423838,17.149907,82.025116,4.597166,0
10.111977,240.4321,15331.302692,5.392651,361.902926,403.04181,16.131124,61.111146,3.425763,0
7.397413,122.54104,8855.114121,6.888689,241.607532,489.8516,13.365906,?,3.149158,0
7.812804,196.583886,42550.841816,7.334648,?,442.545775,14.666917,?,6.204846,0
6.877457,136.879214,27433.587294,7.091522,307.397088,342.196347,18.403846,81.193412,3.82765,0
?,146.970245,16367.458372,7.687037,?,468.945015,18.601381,49.561969,4.66435,0
?,230.809482,27418.781044,7.136498,369.310008,274.660597,9.578585,72.376909,4.197595,0
7.521052,267.059647,26865.373741,10.44945,?,505.709372,16.237746,57.03778,2.880785,0
8.550875,231.248787,28918.419953,7.822528,369.264223,432.28527,16.266297,73.149464,3.772887,0
10.308478,217.219746,27653.235184,8.912266,369.531206,382.951505,6.580402,59.57604,3.285077,0
?,252.670469,29368.674184,9.906147,433.952212,465.216621,13.221034,84.198607,5.052737,0
7.371085,207.716824,24913.837166,9.61633,362.30018,363.168538,11.542662,67.720704,4.41259,0
11.180695,228.30086,16600.392747,6.094001,?,504.050539,15.035047,110.739299,3.809842,0
6.506488,202.285938,17087.076902,6.201983,326.662368,481.771934,16.535186,46.205748,3.548776,0
6.643936,151.8896,10909.194592,3.749625,240.936722,437.909005,15.264742,64.203964,3.812953,0
5.033774,155.321478,34971.807483,7.121477,320.115497,500.637326,18.312499,63.193306,3.244948,0
6.912608,155.740495,17973.178859,4.916303,275.908228,439.648051,18.380712,55.507468,2.612249,0
7.977636,245.89513,32170.06916,9.635636,399.583155,473.662453,11.728338,23.81702,3.552129,0
6.078336,197.501912,35957.792183,8.130472,379.527706,360.060477,20.098413,41.86596,4.201581,0
6.242414,191.90873,28149.411792,7.130437,319.306785,448.242527,19.370091,60.939481,4.508705,0
6.063355,160.767311,14775.145596,7.484104,305.828553,327.270239,12.309016,69.038454,3.467337,0
8.129586,177.898967,27834.217696,9.006008,334.438539,397.021428,15.936262,81.390758,3.362537,0
9.562406,202.013643,13041.82914,5.820655,327.118824,433.381667,14.139066,63.548993,3.76272,0
8.167793,200.913755,27141.362903,7.262417,344.161134,525.598788,16.142284,66.231436,4.289395,0
8.594416,270.022706,15791.675351,5.912691,?,672.556999,20.184051,54.961285,3.568992,0
?,167.386127,20944.620814,4.963124,?,566.339294,11.318807,?,3.679795,0
6.825468,187.05171,46140.12685,6.137757,352.702182,373.427235,12.606382,58.752201,3.02745,0
7.861178,204.274241,25145.024125,7.923315,338.213803,469.486961,15.99341,86.167298,4.157657,0
4.965774,220.848639,21802.744898,6.250578,311.598136,386.413332,18.035238,53.908177,3.421767,0
6.207433,192.937027,13442.603471,5.819023,325.906562,533.795851,14.687539,60.485033,3.549299,0
?,157.001287,20067.105328,8.071051,?,490.909712,17.322946,71.969261,4.41756,0
9.769251,264.265654,8471.677381,8.34971,359.268543,353.196475,15.047087,52.645459,4.636556,0
9.630665,152.862433,23641.702565,6.925706,333.148318,417.167073,16.670184,89.997574,4.920091,0
5.187472,104.752425,20060.078727,6.913911,?,368.815429,15.140348,98.656646,3.203258,0
7.63357,199.653,16312.154974,9.900547,358.566282,420.534172,10.539392,100.242706,2.927067,0
5.771199,155.050893,24909.44401,6.531261,297.009319,313.701934,11.704789,85.688303,4.688959,0
6.579969,197.226981,17657.084176,4.506293,290.289894,254.393276,9.847655,73.749716,4.575932,0
4.801154,180.772871,13556.734397,8.977286,322.062447,587.395012,12.401368,62.028187,4.418638,0
7.948816,238.23641,19129.458365,5.851965,?,434.655459,8.663294,67.30404,3.692251,0
6.906992,216.785291,19991.239149,7.302352,340.106028,356.459137,9.614106,61.122644,2.124759,0
?,281.268667,22452.090808,6.773699,343.635821,395.341775,14.90308,67.125168,4.44435,0
?,190.77946,12224.310506,4.646211,308.564886,399.271359,11.876797,61.886636,3.463173,0
8.461331,212.581366,34406.776446,8.679152,384.855382,477.343369,13.801712,?,3.771944,0
7.726135,233.947864,21667.868741,6.313182,340.273171,472.258994,14.39986,36.578038,3.720637,0
?,247.661573,19549.499341,8.76967,?,438.865775,16.624654,64.949008,3.777737,0
8.927078,241.875105,22821.254377,8.549738,367.975558,380.1972,10.859287,75.857068,4.601861,0
6.208016,153.221106,17358.796365,8.214939,328.282029,481.195673,14.274092,62.718199,4.334616,0
6.128426,141.49241,9615.83271,7.627919,277.951704,415.008737,16.435843,50.693927,4.633824,0
?,202.254833,11981.740191,9.189106,339.983935,416.588906,14.079228,62.76553,2.678911,0
7.308049,274.70495,14600.539522,8.105803,384.564852,415.607278,16.761625,68.937227,3.69612,0
?,170.099236,39906.190271,6.554996,?,515.386742,13.516078,40.514172,4.353239,0
8.640886,201.568724,26473.713239,6.967095,352.306586,309.983287,17.665083,68.664923,5.263102,0
?,205.509457,20406.927672,6.810069,355.265923,482.330055,12.337776,70.580607,4.102529,0
8.15321,127.144892,10280.929497,5.828358,267.636886,487.908327,11.943477,90.619354,2.905788,0
8.29372,206.160415,35216.38597,6.441,347.062241,399.483621,16.065668,79.954511,3.954715,0
?,233.850345,21136.286764,6.689878,?,332.737587,9.745282,77.529945,3.310859,0
?,237.677383,26009.075259,7.074531,372.600296,344.767924,14.442238,72.69624,3.706602,0
9.489973,234.069965,15513.740378,4.735332,?,277.97007,16.698216,81.427174,4.219968,0
7.830976,190.799044,7695.063935,4.845205,292.515824,507.445488,15.526658,85.009506,4.588785,0
4.430281,139.685759,28862.25717,8.961372,298.379458,434.781267,17.299294,63.042501,4.384565,0
7.24074,201.186804,23783.099556,7.751285,340.983683,579.220394,13.486379,62.650236,3.556297,0
?,260.20536,19517.724799,8.764169,368.821037,251.020899,12.804588,48.65189,3.665522,0
6.867301,174.184976,24112.153471,5.529942,297.655575,484.122939,11.482687,65.304414,3.823595,0
6.129637,200.278182,30989.948415,8.830102,348.868154,341.388577,9.300117,79.553612,4.615886,0
7.917049,278.056321,27192.280561,9.220128,424.787996,358.781736,15.054313,56.839602,3.659485,0
6.511618,181.873422,29136.814624,7.685775,345.751638,475.341351,12.321232,52.437617,4.850434,0
5.323816,232.36858,37625.75268,8.879823,380.576472,580.8977,12.293803,55.310019,2.880722,0
6.769573,168.937072,11067.181148,7.121264,305.79495,289.54246,18.545903,62.001571,5.22054,0
5.877974,141.615287,13652.293199,5.701659,279.7824,538.495404,12.034042,67.907258,4.03226,0
9.534022,201.955208,9472.61492,6.105708,319.57642,259.636803,15.625617,?,2.768239,0
6.340028,225.028148,45222.506665,5.809032,363.005755,435.500457,11.385937,80.670311,3.686001,0
8.661592,284.098352,27088.47646,7.897857,?,512.27731,16.912142,72.465763,3.670431,0
5.653506,146.590232,16462.460086,6.501596,299.644611,272.440558,13.795264,87.822585,5.198986,0
6.626012,112.299485,25839.894104,7.658747,312.247043,327.248079,19.409147,85.785103,4.194313,0
7.793834,176.866483,18344.680361,7.567677,338.229597,371.216973,9.039042,76.288076,4.172935,0
7.593128,261.566173,18371.057201,6.297543,?,387.629572,16.575981,51.830948,3.377338,0
7.362737,185.692181,16268.448606,5.317019,316.918648,419.258448,16.024246,64.678914,4.408513,0
9.320305,129.823859,16002.13832,4.405035,271.670562,499.844167,13.076859,82.837583,4.20581,0
3.719792,248.859267,23590.932129,7.683742,351.555482,427.495931,20.393782,38.604937,2.718398,0
6.655605,216.441172,20571.845708,8.984237,?,336.831455,17.745996,71.704305,2.951645,0
9.868878,214.166235,15326.855914,3.351598,297.084174,424.292831,19.188441,70.070514,3.35549,0
5.590614,229.192139,35370.735515,7.989641,?,469.41309,13.281556,76.992716,4.726845,0
5.554437,229.122829,31344.460394,7.761431,?,306.872526,13.9748,87.273375,2.095914,0
4.126529,125.474884,11215.945902,5.366011,261.444798,445.241457,18.575921,86.433655,4.460201,0
5.970036,230.449329,16324.115196,5.293919,315.186121,327.786642,13.325987,39.554249,5.428674,0
?,229.77135,16162.262307,4.933662,?,448.846036,8.816487,?,4.600928,0
8.369154,183.500378,12975.900334,6.600853,315.901122,493.46544,12.987106,87.02941,3.629749,0
6.284248,190.017649,12206.68121,7.910711,?,395.261063,13.24614,58.927726,3.377132,0
11.267828,161.896362,6040.369868,7.205414,?,316.535871,11.768309,25.525267,4.153347,0
9.298018,163.038835,13990.513403,4.249702,?,399.477358,15.365884,83.923168,3.681324,0
7.895469,154.26578,7769.616119,7.205262,258.312879,407.732217,16.420041,63.016018,4.236947,0
7.947486,269.809407,34440.773434,6.958283,390.104223,425.627814,13.749261,56.635811,3.700854,0
10.026159,224.266358,14962.177833,7.428313,336.97295,517.512842,18.858519,65.363452,4.182278,0
6.488193,225.481909,34864.427893,8.951692,385.505635,324.509841,12.696545,97.11286,4.592074,0
5.869737,207.725455,22244.218236,6.597764,352.563987,465.616481,14.8381,77.822737,4.689315,0
?,220.813702,21410.319624,6.32488,335.845863,382.197839,9.500296,86.990134,3.659975,0
5.304143,160.968358,25299.511557,6.286043,300.500689,497.790391,15.01303,61.115513,4.165724,0
7.533615,186.918245,11642.727541,5.890684,?,363.506344,10.740146,49.574308,3.462764,0
4.077608,207.838048,18194.95414,7.923974,?,288.365193,13.306692,35.824556,2.758659,0
?,105.859264,37928.142177,5.60944,?,358.888768,12.207108,71.11989,3.873853,0
7.086168,189.145378,4304.492483,3.615891,259.373322,400.90435,12.993012,63.902288,3.41654,0
6.271012,213.444685,24846.141872,8.372997,?,543.391744,17.916526,84.578869,5.303581,0
7.957768,276.733569,17162.398421,7.841542,397.431962,514.421722,14.529779,60.559699,3.450746,0
8.875642,228.921587,28487.708598,5.318732,351.960723,474.772519,14.68397,52.57886,4.006992,0
?,192.447171,18257.569271,7.472249,313.776546,462.402449,13.932145,53.185917,4.358298,0
6.613709,141.128922,25648.569496,7.222972,295.236892,374.770316,14.038263,74.29925,3.539771,0
7.735705,137.318166,16723.977244,7.675826,282.539892,595.329263,18.756139,63.042779,2.148612,0
9.925041,238.713393,10704.603182,6.110019,351.597423,405.900184,13.550367,59.462669,4.703803,0
9.002583,202.990765,19523.124865,7.244753,330.361512,366.491729,15.689404,55.6974,4.904837,0
5.095766,273.408448,26307.298455,10.219804,380.201498,513.877579,18.272418,61.425187,4.352193,0
8.594677,263.764593,23220.120613,6.394463,383.962592,588.852733,13.579996,86.191635,4.754072,0
7.083779,112.820254,8580.245561,4.210284,234.852699,434.747715,23.399516,94.160307,3.887681,0
7.682872,180.701375,12105.721934,5.396716,296.238877,469.835626,15.831763,61.802095,3.778607,0
?,133.813115,18272.505973,5.911871,?,415.211735,11.504506,92.975762,3.313199,0
6.419772,208.760248,30759.68144,7.767863,?,523.600176,20.232523,?,3.095233,0
4.443239,178.956206,25008.532248,4.948815,298.576676,429.544773,17.729724,56.347689,3.268325,0
6.978664,183.242796,23114.446076,6.500825,323.155777,470.078705,16.082847,65.995717,4.766943,0
6.623614,203.030141,17167.301297,6.049601,311.726288,410.243247,15.9145,65.021229,2.915166,0
3.664711,201.097316,28102.756625,5.682035,330.023531,291.148449,17.470631,75.101801,3.316158,0
4.814136,205.214041,17650.405049,8.12108,350.487939,414.030709,10.999416,47.402666,5.190852,0
5.779674,199.58608,24160.354321,9.458128,?,428.553249,16.022503,64.872703,4.656377,0
6.937819,177.578142,12626.197922,7.380883,?,439.624998,9.348252,83.163242,3.72409,0
7.436783,208.094004,28544.616287,6.500053,339.023898,522.79373,17.115276,65.311277,3.727664,0
4.723313,252.274895,22833.192042,5.922451,378.560304,411.295025,16.584571,66.728402,3.917587,0
9.380658,265.061216,15156.789834,4.271545,333.334469,503.170615,11.28641,99.016003,4.034349,0
7.810145,187.315048,20418.889926,7.214896,325.228881,351.186081,16.8004,68.48548,4.033774,0
9.436637,143.788412,20724.930359,7.7001,?,469.761328,14.215765,66.077978,4.411117,0
9.406326,216.762159,27948.589445,6.156111,355.473035,347.983078,16.340715,32.108292,3.097278,0
6.321259,207.25771,8532.139517,5.987877,286.48928,491.765313,10.546886,74.502808,4.501457,0
?,217.369746,17984.327439,8.594163,?,409.220776,10.213779,18.400012,3.605154,0
4.705356,103.173587,19555.765052,6.767298,?,370.178166,9.182834,93.900486,3.43745,0
8.896419,222.256293,8870.902966,6.011342,332.00263,425.226862,10.847737,?,3.700946,0
6.581878,272.982745,37169.444404,8.114731,416.083481,351.476839,15.129334,79.261026,4.201663,0
6.755146,231.260131,18536.698647,8.757133,342.548014,385.114648,13.888834,79.302436,5.16273,0
9.44513,145.805402,13168.529156,9.444471,310.583374,592.659021,8.606397,77.57746,3.875165,1
9.024845,128.096691,19859.676476,8.016423,300.150377,451.143481,14.770863,73.778026,3.985251,1
?,169.974849,23403.637304,8.51973,?,475.573562,12.924107,50.861913,2.747313,1
6.800119,242.008082,39143.403329,9.501695,187.170714,376.456593,11.432466,73.777275,3.85494,1
7.174135,203.408935,20401.102461,7.681806,287.085679,315.5499,14.53351,74.405616,3.939896,1
7.657991,236.960889,14245.789121,6.289065,373.165363,416.624189,10.464239,85.852769,2.437296,1
8.322987,207.252462,28049.646283,8.827061,297.813085,358.725869,18.709273,60.91142,4.052136,1
5.934279,223.858125,23249.653834,4.60285,?,277.384537,11.366863,66.623944,5.217895,1
9.802721,98.771644,27357.456745,9.21815,323.199077,512.428731,14.168934,59.45444,2.764634,1
6.101955,215.26809,15976.926225,8.85716,308.482695,417.843553,13.147279,62.505642,3.535596,1
4.997771,280.082411,26849.194735,6.130757,374.232961,297.61154,15.571571,70.560275,3.404633,1
4.815767,217.687093,16392.135069,7.46117,278.742296,481.480828,15.517296,77.693374,4.375224,1
6.548021,278.585105,25508.386949,6.749378,366.871502,497.321753,16.563167,79.323678,3.61186,1
13.175402,47.432,19237.949676,8.90702,375.147315,500.245952,12.083896,?,4.106924,1
6.618011,233.661636,19598.86074,4.701049,432.556385,401.669791,11.766146,73.191921,4.437696,1
7.788055,212.691457,29879.060146,6.998962,360.668259,359.569082,14.828743,83.856336,3.368757,1
5.191834,211.094185,14866.103863,7.238691,323.109285,388.71658,17.78,83.505406,3.859801,1
5.62634,230.857983,14442.418875,5.210369,?,346.553206,11.368702,43.195182,1.943319,1
6.869639,251.293448,21728.821295,8.803175,279.776857,539.466877,12.99414,56.409708,4.726702,1
9.058628,155.357557,15737.468938,7.251979,343.233977,463.389256,17.85447,83.175189,3.652134,1
7.291888,127.544297,27784.048484,9.754476,247.335412,439.649329,17.285042,59.55633,5.328713,1
7.275909,175.220376,22644.766348,7.886855,293.309854,373.345693,17.411683,56.799287,5.062298,1
6.512737,229.263861,22475.046873,12.580026,192.033592,479.501279,9.983462,66.668576,4.612964,1
7.207887,175.870294,35804.292613,8.066059,320.102173,468.562829,16.164091,71.146661,3.762741,1
?,156.520635,16146.157112,6.629599,352.353431,629.281248,13.507688,42.34017,3.772919,1
5.324942,280.089655,35344.658047,13.043806,180.206746,392.421496,10.50482,55.084668,4.427138,1
7.082301,169.468927,29846.719057,5.443387,350.401849,353.03038,18.959534,30.389096,3.485577,1
5.334184,224.787936,28897.491527,6.048525,?,360.179177,12.247344,67.154751,5.091357,1
10.761898,81.710895,25999.953669,8.477394,318.427241,392.704082,12.71635,52.246972,4.661799,1
6.286807,258.300052,13777.376191,7.483258,328.68065,563.434775,16.460837,73.516654,4.104863,1
9.794559,129.870958,20682.731742,9.390843,291.980083,427.123948,11.853228,78.711469,2.945419,1
8.210444,167.102192,13933.08536,10.422842,243.485942,391.068874,13.747058,61.05821,4.976055,1
6.941719,173.334389,20111.821256,6.697194,?,374.485332,19.937486,?,4.563183,1
10.356119,136.323752,48621.563952,9.158704,327.922751,365.720292,17.975564,77.359854,4.201849,1
7.958984,171.483625,23625.813886,9.537735,259.979966,327.623881,16.11711,107.754043,4.698008,1
3.882631,243.80795,7751.809491,0.530351,?,341.291116,12.990592,60.109968,3.734001,1
5.671774,216.042811,15949.153179,7.500573,?,372.535243,17.895724,77.457885,3.83316,1
10.003301,143.094285,46113.957485,12.912187,?,574.555041,16.96331,36.767671,4.746382,1
6.552847,198.80694,34006.420733,8.691206,274.904351,477.163907,14.36963,78.173063,4.687986,1
7.628553,156.793694,26244.036908,8.33761,255.043194,495.966986,13.633974,65.604841,4.182057,1
4.790841,268.720881,17862.369003,4.554574,377.241161,608.846856,10.806313,83.702236,3.258859,1
7.71096,181.938126,6552.626314,5.389249,390.596392,516.284083,17.010785,58.241734,4.288947,1
8.291299,211.217034,20008.134957,8.767875,275.767321,475.90913,12.614669,66.612984,3.424702,1
6.19317,225.683422,12883.726496,4.73936,?,389.405978,14.560136,76.457816,3.466645,1
